instancia,n,m,TD,BU
0,100,100,0.880939,0.391243
1,100,200,1.63408,0.774585
2,100,300,2.18377,1.22315
3,100,400,2.62156,1.53947
4,100,500,3.41509,1.93409
5,100,600,5.23476,2.25024
6,100,700,5.19193,2.63348
7,100,800,6.02197,3.1238
8,100,900,7.30463,3.81631
9,100,1000,7.34626,4.12825
10,200,100,1.4704,0.980393
11,200,200,3.09242,1.52391
12,200,300,3.85063,2.34294
13,200,400,5.68072,3.30493
14,200,500,6.94081,3.74452
15,200,600,8.84899,4.74687
16,200,700,10.0654,5.36029
17,200,800,12.2226,6.08834
18,200,900,12.9715,7.20866
19,200,1000,14.8957,8.3197
20,300,100,2.20343,1.18582
21,300,200,4.02536,2.33826
22,300,300,5.87936,3.84893
23,300,400,8.40214,4.55141
24,300,500,10.8865,5.88252
25,300,600,12.4495,7.11953
26,300,700,15.0842,8.52927
27,300,800,16.9995,9.63902
28,300,900,19.6205,10.5407
29,300,1000,22.6256,11.4376
30,400,100,2.92509,1.55654
31,400,200,5.53291,3.36204
32,400,300,11.4068,5.53339
33,400,400,11.5392,6.21715
34,400,500,14.621,7.89339
35,400,600,17.7288,9.60564
36,400,700,21.2607,11.3247
37,400,800,23.383,12.4343
38,400,900,27.4272,13.821
39,400,1000,29.6062,15.7534
40,500,100,3.62068,2.0804
41,500,200,6.92973,3.99032
42,500,300,11.2649,6.20092
43,500,400,14.1207,7.78725
44,500,500,16.9967,9.93133
45,500,600,21.2235,11.6623
46,500,700,25.8822,13.4771
47,500,800,29.7496,15.4365
48,500,900,33.5976,17.6426
49,500,1000,36.6475,19.3381
50,600,100,4.37588,2.33228
51,600,200,7.82426,4.96594
52,600,300,11.8063,7.45927
53,600,400,16.2151,9.71591
54,600,500,20.9482,11.6395
55,600,600,25.7831,13.7029
56,600,700,30.0534,16.0164
57,600,800,34.7195,18.418
58,600,900,39.49,20.4677
59,600,1000,44.1253,22.4949
60,700,100,4.65342,2.74289
61,700,200,9.29387,5.85738
62,700,300,13.8866,8.45878
63,700,400,20.5445,10.7
64,700,500,24.3699,13.1451
65,700,600,31.3088,15.9763
66,700,700,34.6294,18.3043
67,700,800,39.9823,21.1306
68,700,900,45.5548,23.8076
69,700,1000,50.5817,28.0984
70,800,100,5.81748,3.21704
71,800,200,11.1645,7.85902
72,800,300,15.4391,9.6401
73,800,400,22.1916,12.2203
74,800,500,28.3062,15.1736
75,800,600,33.8608,18.0727
76,800,700,39.9053,21.1957
77,800,800,45.9309,24.0011
78,800,900,51.1696,27.2986
79,800,1000,59.0434,29.8593
80,900,100,6.07598,3.60419
81,900,200,13.306,7.50815
82,900,300,17.4239,10.6728
83,900,400,24.8391,13.7802
84,900,500,31.5687,16.9984
85,900,600,38.2989,20.1449
86,900,700,44.8181,23.6465
87,900,800,50.9333,28.012
88,900,900,58.7127,30.3711
89,900,1000,65.1103,33.6961
90,1000,100,6.70751,3.90801
91,1000,200,13.4977,7.89018
92,1000,300,20.3861,11.7673
93,1000,400,27.2084,15.2823
94,1000,500,34.6979,18.7995
95,1000,600,42.4564,22.5647
96,1000,700,50.6009,26.1939
97,1000,800,58.8585,32.4049
98,1000,900,64.8852,33.8937
99,1000,1000,71.96,37.6364
