n,V,resultado,tiempo (backtracking)
0,0,0,0.009775
0,0,0,0.010412
0,0,0,0.010376
0,0,0,0.011775
0,0,0,0.010325
0,0,0,0.010313
0,0,0,0.00995
0,0,0,0.0094
0,0,0,0.011062
0,0,0,0.096989
0,0,0,0.010326
0,0,0,0.010175
0,0,0,0.010025
0,0,0,0.010313
0,0,0,0.0115
0,0,0,0.010963
0,0,0,0.010675
0,0,0,0.010488
0,0,0,0.010225
0,0,0,0.010613
0,10,-1,0.011313
0,10,-1,0.00985
0,10,-1,0.013025
0,10,-1,0.012225
0,10,-1,0.013713
0,10,-1,0.010363
0,10,-1,0.010725
0,10,-1,0.010113
0,10,-1,0.009613
0,10,-1,0.011576
0,10,-1,0.012001
0,10,-1,0.0098
0,10,-1,0.010712
0,10,-1,0.010463
0,10,-1,0.01105
0,10,-1,0.013287
0,10,-1,0.01015
0,10,-1,0.010938
0,10,-1,0.015075
0,10,-1,0.010025
0,20,-1,0.010125
0,20,-1,0.009638
0,20,-1,0.083138
0,20,-1,0.010125
0,20,-1,0.010725
0,20,-1,0.012125
0,20,-1,0.011013
0,20,-1,0.009663
0,20,-1,0.0096
0,20,-1,0.010013
0,20,-1,0.010063
0,20,-1,0.025063
0,20,-1,0.009962
0,20,-1,0.009925
0,20,-1,0.010225
0,20,-1,0.010025
0,20,-1,0.010063
0,20,-1,0.01035
0,20,-1,0.011613
0,20,-1,0.011951
0,30,-1,0.010012
0,30,-1,0.009912
0,30,-1,0.010313
0,30,-1,0.009488
0,30,-1,0.009938
0,30,-1,0.010201
0,30,-1,0.01005
0,30,-1,0.010225
0,30,-1,0.010726
0,30,-1,0.011125
0,30,-1,0.01045
0,30,-1,0.01045
0,30,-1,0.010363
0,30,-1,0.0096
0,30,-1,0.010538
0,30,-1,0.011013
0,30,-1,0.010063
0,30,-1,0.0111
0,30,-1,0.009863
0,30,-1,0.0102
0,40,-1,0.009912
0,40,-1,0.010075
0,40,-1,0.010012
0,40,-1,0.010225
0,40,-1,0.01005
0,40,-1,0.010401
0,40,-1,0.009425
0,40,-1,0.0106
0,40,-1,0.013851
0,40,-1,0.010475
0,40,-1,0.01055
0,40,-1,0.010188
0,40,-1,0.010175
0,40,-1,0.010088
0,40,-1,0.009537
0,40,-1,0.010763
0,40,-1,0.010275
0,40,-1,0.010562
0,40,-1,0.010463
0,40,-1,0.01
0,50,-1,0.00955
0,50,-1,0.027337
0,50,-1,0.011763
0,50,-1,0.013388
0,50,-1,0.012575
0,50,-1,0.01855
0,50,-1,0.013262
0,50,-1,0.49812
0,50,-1,0.010963
0,50,-1,0.010301
0,50,-1,0.01145
0,50,-1,0.010325
0,50,-1,0.01155
0,50,-1,0.012088
0,50,-1,0.011425
0,50,-1,0.0105
0,50,-1,0.010163
0,50,-1,0.009563
0,50,-1,0.009912
0,50,-1,0.011288
0,60,-1,0.010738
0,60,-1,0.010976
0,60,-1,0.0107
0,60,-1,0.010225
0,60,-1,0.011451
0,60,-1,0.010262
0,60,-1,0.011151
0,60,-1,0.011612
0,60,-1,0.010125
0,60,-1,0.010012
0,60,-1,0.012338
0,60,-1,0.011638
0,60,-1,0.009351
0,60,-1,0.010287
0,60,-1,0.010938
0,60,-1,0.010225
0,60,-1,0.011351
0,60,-1,0.01175
0,60,-1,0.010475
0,60,-1,0.0106
0,70,-1,0.010288
0,70,-1,0.010401
0,70,-1,0.010625
0,70,-1,0.009613
0,70,-1,0.009838
0,70,-1,0.010175
0,70,-1,0.010038
0,70,-1,0.009925
0,70,-1,0.009925
0,70,-1,0.010112
0,70,-1,0.010426
