n,V,resultado,tiempo (fuerzabruta)
0,0,0,0.009813
0,0,0,0.010025
0,0,0,0.009625
0,0,0,0.010112
0,0,0,0.010675
0,0,0,0.010151
0,0,0,0.011213
0,0,0,0.0104
0,0,0,0.010038
0,0,0,0.010275
0,0,0,0.010425
0,0,0,0.010512
0,0,0,0.010888
0,0,0,0.009863
0,0,0,0.010913
0,0,0,0.010238
0,0,0,0.0101
0,0,0,0.0099
0,0,0,0.009175
0,0,0,0.0089
0,10,-1,0.0103
0,10,-1,0.011013
0,10,-1,0.010313
0,10,-1,0.010263
0,10,-1,0.010663
0,10,-1,0.01
0,10,-1,0.010188
0,10,-1,0.009625
0,10,-1,0.010462
0,10,-1,0.011913
0,10,-1,0.011575
0,10,-1,0.010663
0,10,-1,0.010375
0,10,-1,0.009625
0,10,-1,0.009763
0,10,-1,0.009725
0,10,-1,0.009288
0,10,-1,0.011188
0,10,-1,0.010212
0,10,-1,0.010225
0,20,-1,0.009763
0,20,-1,0.010213
0,20,-1,0.010375
0,20,-1,0.009688
0,20,-1,0.01465
0,20,-1,0.011475
0,20,-1,0.0104
0,20,-1,0.009613
0,20,-1,0.010125
0,20,-1,0.011112
0,20,-1,0.010063
0,20,-1,0.01
0,20,-1,0.010237
0,20,-1,0.0103
0,20,-1,0.010187
0,20,-1,0.0098
0,20,-1,0.011788
0,20,-1,0.009626
0,20,-1,0.011125
0,20,-1,0.009987
0,30,-1,0.010338
0,30,-1,0.009351
0,30,-1,0.009837
0,30,-1,0.010988
0,30,-1,0.010725
0,30,-1,0.0096
0,30,-1,0.011713
0,30,-1,0.009488
0,30,-1,0.009576
0,30,-1,0.009712
0,30,-1,0.011413
0,30,-1,0.0101
0,30,-1,0.010363
0,30,-1,0.0105
0,30,-1,0.010387
0,30,-1,0.009576
0,30,-1,0.010551
0,30,-1,0.009901
0,30,-1,0.010363
0,30,-1,0.010488
0,40,-1,0.0104
0,40,-1,0.011326
0,40,-1,0.010675
0,40,-1,0.009538
0,40,-1,0.010325
0,40,-1,0.0098
0,40,-1,0.010038
0,40,-1,0.010262
0,40,-1,0.010675
0,40,-1,0.010075
0,40,-1,0.0096
0,40,-1,0.010175
0,40,-1,0.012113
0,40,-1,0.009575
0,40,-1,0.009763
0,40,-1,0.009963
0,40,-1,0.0102
0,40,-1,0.010026
0,40,-1,0.009301
0,40,-1,0.009475
0,50,-1,0.010175
0,50,-1,0.0095
0,50,-1,0.010001
0,50,-1,0.010863
0,50,-1,0.011363
0,50,-1,0.01035
0,50,-1,0.010676
0,50,-1,0.030676
0,50,-1,0.009938
0,50,-1,0.010375
0,50,-1,0.010512
0,50,-1,0.01115
0,50,-1,0.010225
0,50,-1,0.010312
0,50,-1,0.009825
0,50,-1,0.0102
0,50,-1,0.0108
0,50,-1,0.011887
0,50,-1,0.010475
0,50,-1,0.010726
0,60,-1,0.011563
0,60,-1,0.010638
0,60,-1,0.009513
0,60,-1,0.011725
0,60,-1,0.00985
0,60,-1,0.009776
0,60,-1,0.010725
0,60,-1,0.010612
0,60,-1,0.009687
0,60,-1,0.011175
0,60,-1,0.01145
0,60,-1,0.01035
0,60,-1,0.01155
0,60,-1,0.010275
0,60,-1,0.009575
0,60,-1,0.482158
0,60,-1,0.010437
0,60,-1,0.009588
0,60,-1,0.0104
0,60,-1,0.009187
0,70,-1,0.010338
0,70,-1,0.01065
0,70,-1,0.010388
0,70,-1,0.010163
0,70,-1,0.010425
0,70,-1,0.009713
0,70,-1,0.012051
0,70,-1,0.009525
0,70,-1,0.010213
0,70,-1,0.009712
0,70,-1,0.011063
0,70,-1,0.009975
0,70,-1,0.009887
0,70,-1,0.009925
0,70,-1,0.009862
0,70,-1,0.009537
0,70,-1,0.010012
0,70,-1,0.009275
0,70,-1,0.011463
0,70,-1,0.010238
0,80,-1,0.0097
0,80,-1,0.010288
0,80,-1,0.0106
0,80,-1,0.009875
0,80,-1,0.011288
0,80,-1,0.009637
0,80,-1,0.009725
0,80,-1,0.010425
0,80,-1,0.010638
0,80,-1,0.010437
0,80,-1,0.010575
0,80,-1,0.010188
0,80,-1,0.010437
0,80,-1,0.009538
0,80,-1,0.0105
0,80,-1,0.011125
0,80,-1,0.009175
0,80,-1,0.009751
0,80,-1,0.009951
0,80,-1,0.011488
0,90,-1,0.011188
0,90,-1,0.01015
0,90,-1,0.009526
0,90,-1,0.009963
0,90,-1,0.009413
0,90,-1,0.010951
0,90,-1,0.010212
0,90,-1,0.010363
0,90,-1,0.010188
0,90,-1,0.009762
0,90,-1,0.0098
0,90,-1,0.009626
0,90,-1,0.01035
0,90,-1,0.00965
0,90,-1,0.0141
0,90,-1,0.009525
0,90,-1,0.0097
0,90,-1,0.012813
0,90,-1,0.011062
0,90,-1,0.010713
0,100,-1,0.076276
0,100,-1,0.010413
0,100,-1,0.010288
0,100,-1,0.010925
0,100,-1,0.010963
0,100,-1,0.009725
0,100,-1,0.009675
0,100,-1,0.009438
0,100,-1,0.01
0,100,-1,0.010875
0,100,-1,0.010375
0,100,-1,0.010775
0,100,-1,0.00955
0,100,-1,0.010825
0,100,-1,0.010226
0,100,-1,0.034963
0,100,-1,0.010538
0,100,-1,0.010763
