n,V,resultado,tiempo (fuerzabruta)
1,10,-1,0.0233549
1,20,-1,0.0204078
1,30,-1,0.01921225
1,40,-1,0.04229015
1,50,-1,0.01876515
1,60,-1,0.0186383
1,70,-1,0.01941975
1,80,-1,0.02033915
1,90,-1,0.1280428
1,100,-1,0.05513345
1,110,-1,0.01815775
1,120,-1,0.01975845
1,130,-1,0.0202661
1,140,-1,0.0252342
1,150,-1,0.01985785
1,160,-1,0.02204605
1,170,-1,0.0183433
1,180,-1,0.01952035
1,190,-1,0.01895895
1,200,-1,0.01819295
2,10,-1,0.0236461
2,20,-1,0.03662875
2,30,-1,0.02302035
2,40,-1,0.06746425
2,50,-1,0.02690175
2,60,-1,0.02602155
2,70,-1,0.0243914
2,80,-1,0.02652975
2,90,-1,0.02509095
2,100,-1,0.04487685
2,110,-1,0.02541735
2,120,-1,0.0238061
2,130,-1,0.02446485
2,140,-1,0.0243136
2,150,-1,0.024241
2,160,-1,0.0244747
2,170,-1,0.1962427
2,180,-1,0.0249473
2,190,-1,0.024199
2,200,-1,0.02475355
3,10,-1,0.03557195
3,20,2,0.03708885
3,30,-1,0.03652735
3,40,-1,0.03581235
3,50,-1,0.03553195
3,60,-1,0.0370093
3,70,-1,0.0360412
3,80,-1,0.25813585
3,90,-1,0.03462375
3,100,-1,0.0370588
3,110,-1,0.09816805
3,120,-1,0.0378231
3,130,-1,0.0369181
3,140,-1,0.03844885
3,150,-1,0.04355945
3,160,-1,0.04290015
3,170,-1,0.0372657
3,180,-1,0.0482765
3,190,-1,0.0352242
3,200,-1,0.0346774
4,10,-1,0.1987098
4,20,2,0.07218175
4,30,2,0.06069165
4,40,-1,0.06215215
4,50,-1,0.0648004
4,60,-1,0.16294195
4,70,-1,0.09598705
4,80,-1,0.1160199
4,90,-1,0.0602203
4,100,-1,0.19960825
4,110,-1,0.0656823
4,120,-1,0.06314735
4,130,-1,0.3046566
4,140,-1,0.143912
4,150,-1,0.14649975
4,160,-1,0.0865933
4,170,-1,0.0645698
4,180,-1,0.1713916
4,190,-1,0.0616834
4,200,-1,0.0660148
5,10,1,0.1317615
5,20,2,0.11892005
5,30,-1,0.1276863
5,40,-1,0.18240785
5,50,-1,0.1170356
5,60,3,0.25072705
5,70,3,0.2406181
5,80,-1,0.1319659
5,90,2,0.2339451
5,100,-1,0.12230375
5,110,-1,0.26292325
5,120,-1,0.1767129
5,130,-1,0.18007895
5,140,-1,0.1402916
5,150,-1,0.18863425
5,160,-1,0.2181697
5,170,-1,0.12071695
5,180,-1,0.117297
5,190,-1,0.15029745
5,200,-1,0.2309234
6,10,1,0.5108234
6,20,2,0.42231875
6,30,-1,0.2505034
6,40,-1,0.27155015
6,50,-1,0.312977
6,60,-1,0.27994825
6,70,-1,0.41375585
6,80,-1,0.2669706
6,90,-1,0.31887425
6,100,-1,0.2956543
6,110,-1,0.46415795
6,120,-1,0.432384
6,130,3,0.3394374
6,140,-1,0.34368235
6,150,-1,0.26080425
6,160,-1,0.36638235
6,170,-1,0.40464295
6,180,-1,0.24860835
6,190,-1,0.2765788
6,200,2,0.3410841
7,10,2,0.65580195
7,20,2,1.0445831
7,30,3,0.7460495
7,40,-1,0.63856245
7,50,-1,0.6468292
7,60,2,0.72857015
7,70,2,0.6011327
7,80,2,0.6322323
7,90,4,0.6847722
7,100,-1,0.77564335
7,110,-1,0.5242878
7,120,-1,0.82434015
7,130,-1,0.60845855
7,140,-1,0.61092745
7,150,-1,0.5485841
7,160,-1,0.588235
7,170,2,0.67604195
7,180,-1,0.52852165
7,190,-1,0.56922665
7,200,2,0.7620658
8,10,2,1.43925
8,20,2,1.675293
8,30,3,1.504551
8,40,1,1.525463
8,50,-1,2.0591735
8,60,3,1.3590815
8,70,-1,1.6107375
8,80,2,1.7430495
8,90,-1,1.931777
8,100,-1,1.372928
8,110,-1,1.661326
8,120,3,1.675193
8,130,2,1.525893
8,140,2,1.267052
8,150,-1,1.4240185
8,160,-1,1.1978745
8,170,2,1.6915415
