n,V,resultado,tiempo
0,0,0,0.003038
0,0,0,0.0042
0,0,0,0.004087
0,0,0,0.003676
0,0,0,0.003363
0,0,0,0.003437
0,0,0,0.00355
0,0,0,0.003775
0,0,0,0.003125
0,0,0,0.003187
0,0,0,0.003437
0,0,0,0.003663
0,0,0,0.003413
0,0,0,0.003313
0,0,0,0.0034
0,0,0,0.003313
0,0,0,0.003725
0,0,0,0.003425
0,0,0,0.003175
0,0,0,0.0038
0,10,-1,0.003338
0,10,-1,0.0036
0,10,-1,0.003338
0,10,-1,0.003138
0,10,-1,0.003725
0,10,-1,0.003513
0,10,-1,0.003275
0,10,-1,0.003625
0,10,-1,0.004463
0,10,-1,0.003475
0,10,-1,0.00325
0,10,-1,0.003712
0,10,-1,0.003425
0,10,-1,0.003562
0,10,-1,0.003212
0,10,-1,0.00315
0,10,-1,0.00335
0,10,-1,0.00355
0,10,-1,0.003638
0,10,-1,0.003412
0,20,-1,0.003775
0,20,-1,0.003462
0,20,-1,0.00425
0,20,-1,0.003613
0,20,-1,0.003438
0,20,-1,0.003688
0,20,-1,0.003438
0,20,-1,0.003613
0,20,-1,0.003437
0,20,-1,0.003463
0,20,-1,0.00335
0,20,-1,0.003237
0,20,-1,0.003363
0,20,-1,0.003562
0,20,-1,0.003512
0,20,-1,0.0032
0,20,-1,0.003625
0,20,-1,0.003275
0,20,-1,0.003725
0,20,-1,0.00345
0,30,-1,0.003438
0,30,-1,0.0033
0,30,-1,0.0033
0,30,-1,0.003413
0,30,-1,0.003275
0,30,-1,0.003275
0,30,-1,0.0035
0,30,-1,0.003263
0,30,-1,0.003462
0,30,-1,0.003813
0,30,-1,0.003375
0,30,-1,0.003838
0,30,-1,0.003563
0,30,-1,0.003512
0,30,-1,0.003838
0,30,-1,0.003337
0,30,-1,0.003551
0,30,-1,0.003162
0,30,-1,0.003512
0,30,-1,0.003225
0,40,-1,0.0035
0,40,-1,0.0034
0,40,-1,0.003638
0,40,-1,0.00385
0,40,-1,0.003425
0,40,-1,0.003725
0,40,-1,0.003062
0,40,-1,0.003238
0,40,-1,0.003513
0,40,-1,0.003412
0,40,-1,0.003237
0,40,-1,0.003688
0,40,-1,0.00315
0,40,-1,0.003275
0,40,-1,0.003575
0,40,-1,0.003537
0,40,-1,0.003588
0,40,-1,0.003388
0,40,-1,0.003212
0,40,-1,0.003588
0,50,-1,0.003062
0,50,-1,0.003375
0,50,-1,0.003362
0,50,-1,0.003238
0,50,-1,0.003538
0,50,-1,0.003225
0,50,-1,0.003412
0,50,-1,0.0037
0,50,-1,0.003575
0,50,-1,0.00355
0,50,-1,0.003737
0,50,-1,0.003863
0,50,-1,0.003475
0,50,-1,0.003613
0,50,-1,0.003612
0,50,-1,0.003237
0,50,-1,0.003388
0,50,-1,0.00365
0,50,-1,0.003388
0,50,-1,0.0036
0,60,-1,0.003863
0,60,-1,0.003863
0,60,-1,0.003525
0,60,-1,0.002913
0,60,-1,0.003425
0,60,-1,0.003625
0,60,-1,0.00405
0,60,-1,0.003287
0,60,-1,0.003387
0,60,-1,0.003263
0,60,-1,0.003037
0,60,-1,0.003837
0,60,-1,0.003463
0,60,-1,0.003387
0,60,-1,0.003738
0,60,-1,0.00345
0,60,-1,0.003237
0,60,-1,0.003475
0,60,-1,0.003538
0,60,-1,0.003413
0,70,-1,0.00355
0,70,-1,0.003113
0,70,-1,0.00335
0,70,-1,0.003175
0,70,-1,0.003525
0,70,-1,0.003475
0,70,-1,0.003763
0,70,-1,0.0037
0,70,-1,0.003325
0,70,-1,0.00335
0,70,-1,0.003563
0,70,-1,0.003375
0,70,-1,0.00375
0,70,-1,0.00365
0,70,-1,0.0034
0,70,-1,0.003538
0,70,-1,0.0033
0,70,-1,0.003212
0,70,-1,0.003438
0,70,-1,0.003625
0,80,-1,0.003425
0,80,-1,0.003287
0,80,-1,0.003713
0,80,-1,0.003987
0,80,-1,0.0036
0,80,-1,0.003688
0,80,-1,0.003438
0,80,-1,0.0038
0,80,-1,0.003613
0,80,-1,0.0035
0,80,-1,0.00385
0,80,-1,0.003612
0,80,-1,0.003663
0,80,-1,0.003913
0,80,-1,0.003525
0,80,-1,0.003813
0,80,-1,0.003288
0,80,-1,0.003363
0,80,-1,0.003988
0,80,-1,0.0034
0,90,-1,0.003787
0,90,-1,0.006237
0,90,-1,0.004213
0,90,-1,0.004376
0,90,-1,0.003487
0,90,-1,0.003513
0,90,-1,0.003875
0,90,-1,0.004288
0,90,-1,0.00415
0,90,-1,0.003563
0,90,-1,0.003687
0,90,-1,0.003488
0,90,-1,0.0036
0,90,-1,0.0036
0,90,-1,0.003975
