n,V,resultado,tiempo
1,0,0,0.024775
1,0,0,0.02135
1,0,0,0.021362
1,0,0,0.014013
1,0,0,0.016488
1,0,0,0.012837
1,0,0,0.012812
1,0,0,0.0167
1,0,0,0.022025
1,0,0,0.021212
1,0,0,0.020925
1,0,0,0.013163
1,0,0,0.013388
1,0,0,0.022313
1,0,0,0.019088
1,0,0,0.021313
1,0,0,0.020838
1,0,0,0.017388
1,0,0,0.01855
1,0,0,0.0253
1,10,-1,0.022051
1,10,-1,0.012125
1,10,-1,0.019676
1,10,-1,0.018813
1,10,-1,0.021925
1,10,-1,0.0163
1,10,-1,0.02015
1,10,-1,0.012938
1,10,-1,0.020525
1,10,-1,0.020188
1,10,-1,0.016362
1,10,-1,0.015038
1,10,-1,0.017625
1,10,-1,0.021188
1,10,-1,0.01775
1,10,-1,0.012675
1,10,-1,0.018562
1,10,-1,0.014588
1,10,-1,0.023225
1,10,-1,0.019901
1,20,-1,0.019212
1,20,-1,0.0209
1,20,-1,0.014275
1,20,-1,0.015587
1,20,-1,0.013475
1,20,-1,0.014238
1,20,-1,0.020875
1,20,-1,0.011826
1,20,-1,0.01235
1,20,-1,0.018975
1,20,-1,0.012175
1,20,-1,0.016263
1,20,-1,0.020738
1,20,-1,0.011963
1,20,-1,0.020651
1,20,-1,0.018813
1,20,-1,0.0195
1,20,-1,0.019213
1,20,-1,0.019138
1,20,-1,0.011663
1,30,-1,0.018425
1,30,-1,0.018088
1,30,-1,0.021088
1,30,-1,0.0127
1,30,-1,0.013876
1,30,-1,0.012938
1,30,-1,0.016113
1,30,-1,0.018875
1,30,-1,0.018801
1,30,-1,0.012388
1,30,-1,0.012612
1,30,-1,0.0205
1,30,-1,0.016138
1,30,-1,0.012162
1,30,-1,0.022438
1,30,-1,0.022263
1,30,-1,0.016175
1,30,-1,0.014087
1,30,-1,0.020363
1,30,-1,0.01885
1,40,-1,0.019687
1,40,-1,0.012813
1,40,-1,0.020513
1,40,-1,0.01385
1,40,-1,0.020325
1,40,-1,0.017376
1,40,-1,0.019213
1,40,-1,0.012726
1,40,-1,0.016888
1,40,-1,0.01245
1,40,-1,0.013513
1,40,-1,0.014325
1,40,-1,0.016588
1,40,-1,0.019788
1,40,-1,0.028325
1,40,-1,0.016913
1,40,-1,0.025038
1,40,-1,0.028125
1,40,-1,0.020125
1,40,-1,0.011876
1,50,-1,0.017575
1,50,-1,0.020276
1,50,-1,0.01195
1,50,-1,0.016725
1,50,-1,0.021325
1,50,-1,0.019263
1,50,-1,0.012187
1,50,-1,0.015375
1,50,-1,0.01315
1,50,-1,0.012275
1,50,-1,0.011962
1,50,-1,0.020413
1,50,-1,0.012788
1,50,-1,0.013663
1,50,-1,0.0132
1,50,-1,0.019188
1,50,-1,0.0125
1,50,-1,0.028763
1,50,-1,0.0241
1,50,-1,0.017925
1,60,-1,0.021463
1,60,-1,0.025213
1,60,-1,0.021125
1,60,-1,0.024287
1,60,-1,0.020088
1,60,-1,0.017475
1,60,-1,0.015038
1,60,-1,0.013288
1,60,-1,0.011937
1,60,-1,0.020501
1,60,-1,0.018138
1,60,-1,0.012325
1,60,-1,0.01265
1,60,-1,0.012813
1,60,-1,0.016038
1,60,-1,0.0211
1,60,-1,0.014113
1,60,-1,0.020712
1,60,-1,0.016375
1,60,-1,0.020301
1,70,-1,0.020038
1,70,-1,0.01245
1,70,-1,0.0129
1,70,-1,0.013225
1,70,-1,0.015625
1,70,-1,0.012413
1,70,-1,0.016363
1,70,-1,0.019888
1,70,-1,0.02125
1,70,-1,0.021488
1,70,-1,0.025363
1,70,-1,0.013112
1,70,-1,0.019
1,70,-1,0.027701
1,70,-1,0.019213
1,70,-1,0.01505
1,70,-1,0.01375
1,70,-1,0.027651
1,70,-1,0.024538
1,70,-1,0.028137
1,80,-1,0.021975
1,80,-1,0.113652
1,80,-1,0.017438
1,80,-1,0.017426
1,80,-1,0.02605
