n,V,resultado,tiempo
0,0,0,0.002512
0,0,0,0.002288
0,0,0,0.002338
0,0,0,0.002337
0,0,0,0.00155
0,0,0,0.002025
0,0,0,0.001937
0,0,0,0.002038
0,0,0,0.002138
0,0,0,0.002325
0,0,0,0.001788
0,0,0,0.002237
0,0,0,0.001937
0,0,0,0.001812
0,0,0,0.001937
0,0,0,0.0022
0,0,0,0.002212
0,0,0,0.001925
0,0,0,0.00265
0,0,0,0.002251
0,100,-1,0.0018
0,100,-1,0.001725
0,100,-1,0.001612
0,100,-1,0.002087
0,100,-1,0.001775
0,100,-1,0.001713
0,100,-1,0.0019
0,100,-1,0.0023
0,100,-1,0.002013
0,100,-1,0.001738
0,100,-1,0.002275
0,100,-1,0.001988
0,100,-1,0.001637
0,100,-1,0.001613
0,100,-1,0.001725
0,100,-1,0.001762
0,100,-1,0.00205
0,100,-1,0.002138
0,100,-1,0.0021
0,100,-1,0.001762
0,200,-1,0.001812
0,200,-1,0.001638
0,200,-1,0.001738
0,200,-1,0.0016
0,200,-1,0.00195
0,200,-1,0.001987
0,200,-1,0.001988
0,200,-1,0.00185
0,200,-1,0.002038
0,200,-1,0.00235
0,200,-1,0.002188
0,200,-1,0.00195
0,200,-1,0.001838
0,200,-1,0.001875
0,200,-1,0.002213
0,200,-1,0.00195
0,200,-1,0.002288
0,200,-1,0.002125
0,200,-1,0.0019
0,200,-1,0.002137
0,300,-1,0.001975
0,300,-1,0.002075
0,300,-1,0.001537
0,300,-1,0.0017
0,300,-1,0.001975
0,300,-1,0.001737
0,300,-1,0.0019
0,300,-1,0.002063
0,300,-1,0.002012
0,300,-1,0.0029
0,300,-1,0.002625
0,300,-1,0.001925
0,300,-1,0.001687
0,300,-1,0.00205
0,300,-1,0.001938
0,300,-1,0.0023
0,300,-1,0.001675
0,300,-1,0.001725
0,300,-1,0.001813
0,300,-1,0.001988
0,400,-1,0.002175
0,400,-1,0.002463
0,400,-1,0.0023
0,400,-1,0.001675
0,400,-1,0.001825
0,400,-1,0.001762
0,400,-1,0.001788
0,400,-1,0.001988
0,400,-1,0.002025
0,400,-1,0.00195
0,400,-1,0.00185
0,400,-1,0.001975
0,400,-1,0.002275
0,400,-1,0.0023
0,400,-1,0.00195
0,400,-1,0.002275
0,400,-1,0.001863
0,400,-1,0.0019
0,400,-1,0.001663
0,400,-1,0.00215
0,500,-1,0.002088
0,500,-1,0.001887
0,500,-1,0.003012
0,500,-1,0.001775
0,500,-1,0.001675
0,500,-1,0.001925
0,500,-1,0.002175
0,500,-1,0.0019
0,500,-1,0.00205
0,500,-1,0.001662
0,500,-1,0.001738
0,500,-1,0.001975
0,500,-1,0.002138
0,500,-1,0.0024
0,500,-1,0.001875
0,500,-1,0.001775
0,500,-1,0.001938
0,500,-1,0.001963
0,500,-1,0.001775
0,500,-1,0.003025
0,600,-1,0.003037
0,600,-1,0.002337
0,600,-1,0.001887
0,600,-1,0.002
0,600,-1,0.002512
0,600,-1,0.002187
0,600,-1,0.002912
0,600,-1,0.001876
0,600,-1,0.001725
0,600,-1,0.001862
