n,V,resultado,tiempo (programaciondinamica)
0,0,0,0.001675
0,0,0,0.00175
0,0,0,0.0021
0,0,0,0.001437
0,0,0,0.0017
0,0,0,0.001813
0,0,0,0.001763
0,0,0,0.002313
0,0,0,0.002025
0,0,0,0.00165
0,0,0,0.00155
0,0,0,0.002101
0,0,0,0.00185
0,0,0,0.001513
0,0,0,0.001613
0,0,0,0.001612
0,0,0,0.001788
0,0,0,0.00155
0,0,0,0.00145
0,0,0,0.001925
0,10,-1,0.001787
0,10,-1,0.001887
0,10,-1,0.00165
0,10,-1,0.002525
0,10,-1,0.002287
0,10,-1,0.00195
0,10,-1,0.001862
0,10,-1,0.00255
0,10,-1,0.001963
0,10,-1,0.002013
0,10,-1,0.002026
0,10,-1,0.001975
0,10,-1,0.001775
0,10,-1,0.001725
0,10,-1,0.001638
0,10,-1,0.002213
0,10,-1,0.001775
0,10,-1,0.001912
0,10,-1,0.001763
0,10,-1,0.001962
0,20,-1,0.001725
0,20,-1,0.001887
0,20,-1,0.002038
0,20,-1,0.001625
0,20,-1,0.001938
0,20,-1,0.002038
0,20,-1,0.001613
0,20,-1,0.0025
0,20,-1,0.002325
0,20,-1,0.001687
0,20,-1,0.001788
0,20,-1,0.001687
0,20,-1,0.001887
0,20,-1,0.001612
0,20,-1,0.001837
0,20,-1,0.00165
0,20,-1,0.001662
0,20,-1,0.002387
0,20,-1,0.001675
0,20,-1,0.001525
0,30,-1,0.0016
0,30,-1,0.001575
0,30,-1,0.001838
0,30,-1,0.0017
0,30,-1,0.001625
0,30,-1,0.0017
0,30,-1,0.002013
0,30,-1,0.0015
0,30,-1,0.001925
0,30,-1,0.002875
0,30,-1,0.002237
0,30,-1,0.001763
0,30,-1,0.001851
0,30,-1,0.001625
0,30,-1,0.002437
0,30,-1,0.002013
0,30,-1,0.002038
0,30,-1,0.001663
0,30,-1,0.001625
0,30,-1,0.001775
0,40,-1,0.002112
0,40,-1,0.001725
0,40,-1,0.001637
0,40,-1,0.001788
0,40,-1,0.002312
0,40,-1,0.001925
0,40,-1,0.002187
0,40,-1,0.001638
0,40,-1,0.001825
0,40,-1,0.001762
0,40,-1,0.001988
0,40,-1,0.00175
0,40,-1,0.001725
0,40,-1,0.001675
0,40,-1,0.001663
0,40,-1,0.002125
0,40,-1,0.001663
0,40,-1,0.001838
0,40,-1,0.00155
0,40,-1,0.001975
0,50,-1,0.001712
0,50,-1,0.005138
0,50,-1,0.001913
0,50,-1,0.001713
0,50,-1,0.002088
0,50,-1,0.002
0,50,-1,0.001837
0,50,-1,0.001988
0,50,-1,0.001725
0,50,-1,0.001912
0,50,-1,0.001637
0,50,-1,0.0017
0,50,-1,0.002125
0,50,-1,0.002212
0,50,-1,0.001987
0,50,-1,0.002063
0,50,-1,0.001837
0,50,-1,0.001625
0,50,-1,0.001437
0,50,-1,0.00205
0,60,-1,0.001688
0,60,-1,0.002013
0,60,-1,0.0017
0,60,-1,0.00215
0,60,-1,0.00155
0,60,-1,0.002087
0,60,-1,0.001762
0,60,-1,0.001925
0,60,-1,0.001863
0,60,-1,0.0022
0,60,-1,0.00245
0,60,-1,0.001688
0,60,-1,0.002062
0,60,-1,0.002037
0,60,-1,0.002087
0,60,-1,0.00175
0,60,-1,0.002437
0,60,-1,0.001887
0,60,-1,0.0019
0,60,-1,0.001588
0,70,-1,0.001612
0,70,-1,0.001938
0,70,-1,0.002162
0,70,-1,0.00205
0,70,-1,0.001937
0,70,-1,0.002188
0,70,-1,0.001625
0,70,-1,0.001512
0,70,-1,0.001775
0,70,-1,0.001988
0,70,-1,0.002175
0,70,-1,0.002688
0,70,-1,0.001837
0,70,-1,0.002363
0,70,-1,0.002587
0,70,-1,0.00175
0,70,-1,0.001937
0,70,-1,0.002025
0,70,-1,0.00175
0,70,-1,0.002037
0,80,-1,0.001737
0,80,-1,0.0017
0,80,-1,0.001988
0,80,-1,0.001838
0,80,-1,0.001637
0,80,-1,0.0018
0,80,-1,0.001637
0,80,-1,0.001588
0,80,-1,0.001787
0,80,-1,0.002138
0,80,-1,0.001862
0,80,-1,0.002737
0,80,-1,0.001738
0,80,-1,0.00225
0,80,-1,0.001675
0,80,-1,0.002288
0,80,-1,0.001975
0,80,-1,0.002038
0,80,-1,0.002662
0,80,-1,0.00205
0,90,-1,0.001788
0,90,-1,0.0018
0,90,-1,0.002037
0,90,-1,0.001825
0,90,-1,0.0021
0,90,-1,0.001787
0,90,-1,0.0019
0,90,-1,0.001788
0,90,-1,0.001875
0,90,-1,0.001988
0,90,-1,0.002201
0,90,-1,0.002712
0,90,-1,0.001875
0,90,-1,0.0018
0,90,-1,0.001813
0,90,-1,0.001937
0,90,-1,0.001788
0,90,-1,0.001538
0,90,-1,0.001788
0,90,-1,0.001762
0,100,-1,0.001687
0,100,-1,0.00185
0,100,-1,0.0017
0,100,-1,0.0017
0,100,-1,0.001788
0,100,-1,0.002312
0,100,-1,0.0018
0,100,-1,0.001788
0,100,-1,0.001925
0,100,-1,0.001613
0,100,-1,0.001987
0,100,-1,0.00185
0,100,-1,0.002112
0,100,-1,0.001587
0,100,-1,0.00175
0,100,-1,0.001813
0,100,-1,0.002137
0,100,-1,0.001787
0,100,-1,0.001475
0,100,-1,0.001763
0,110,-1,0.001988
0,110,-1,0.001712
0,110,-1,0.001763
0,110,-1,0.001662
0,110,-1,0.001825
0,110,-1,0.001737
0,110,-1,0.001775
0,110,-1,0.0021
0,110,-1,0.00215
0,110,-1,0.001812
0,110,-1,0.001776
0,110,-1,0.001638
0,110,-1,0.00265
0,110,-1,0.001712
0,110,-1,0.001725
0,110,-1,0.00175
0,110,-1,0.001837
0,110,-1,0.001725
0,110,-1,0.002025
0,110,-1,0.002113
0,120,-1,0.002026
0,120,-1,0.003025
0,120,-1,0.001912
0,120,-1,0.001575
0,120,-1,0.001725
0,120,-1,0.001637
0,120,-1,0.001913
0,120,-1,0.001875
0,120,-1,0.001587
0,120,-1,0.001987
0,120,-1,0.001987
0,120,-1,0.001763
0,120,-1,0.001851
0,120,-1,0.001912
0,120,-1,0.00195
0,120,-1,0.002087
0,120,-1,0.001613
0,120,-1,0.001775
0,120,-1,0.001863
0,120,-1,0.002026
0,130,-1,0.002238
0,130,-1,0.001837
0,130,-1,0.001825
0,130,-1,0.00185
0,130,-1,0.001913
0,130,-1,0.00205
0,130,-1,0.001675
0,130,-1,0.001888
0,130,-1,0.002212
0,130,-1,0.0026
0,130,-1,0.001688
0,130,-1,0.001875
0,130,-1,0.00175
0,130,-1,0.002038
0,130,-1,0.001725
0,130,-1,0.001438
0,130,-1,0.002075
0,130,-1,0.00195
0,130,-1,0.002538
0,130,-1,0.0018
0,140,-1,0.001637
0,140,-1,0.001837
0,140,-1,0.0021
0,140,-1,0.001987
0,140,-1,0.001938
0,140,-1,0.001838
0,140,-1,0.003825
0,140,-1,0.001913
0,140,-1,0.001887
0,140,-1,0.001888
0,140,-1,0.002612
0,140,-1,0.002225
0,140,-1,0.00185
0,140,-1,0.001925
0,140,-1,0.001662
0,140,-1,0.002075
0,140,-1,0.002625
0,140,-1,0.001862
0,140,-1,0.00245
0,140,-1,0.001763
0,150,-1,0.001862
0,150,-1,0.001963
0,150,-1,0.003675
0,150,-1,0.00185
0,150,-1,0.002025
0,150,-1,0.002425
0,150,-1,0.001925
0,150,-1,0.00155
0,150,-1,0.001737
0,150,-1,0.001775
0,150,-1,0.001662
0,150,-1,0.001625
0,150,-1,0.0018
0,150,-1,0.001812
0,150,-1,0.001887
0,150,-1,0.001938
0,150,-1,0.002
0,150,-1,0.00315
0,150,-1,0.001787
0,150,-1,0.001975
0,160,-1,0.002513
0,160,-1,0.001787
0,160,-1,0.0017
0,160,-1,0.001763
0,160,-1,0.001788
0,160,-1,0.00165
0,160,-1,0.001838
0,160,-1,0.00175
0,160,-1,0.001875
0,160,-1,0.001775
0,160,-1,0.002088
0,160,-1,0.002313
0,160,-1,0.001775
0,160,-1,0.0017
0,160,-1,0.001775
0,160,-1,0.002525
0,160,-1,0.001712
0,160,-1,0.0019
0,160,-1,0.001625
0,160,-1,0.002038
0,170,-1,0.002087
0,170,-1,0.001963
0,170,-1,0.002638
0,170,-1,0.0018
0,170,-1,0.001787
0,170,-1,0.001688
0,170,-1,0.001675
0,170,-1,0.001725
0,170,-1,0.002112
0,170,-1,0.0024
0,170,-1,0.002037
0,170,-1,0.001763
0,170,-1,0.001537
0,170,-1,0.002075
0,170,-1,0.0018
0,170,-1,0.001688
0,170,-1,0.001737
0,170,-1,0.001675
0,170,-1,0.002638
0,170,-1,0.001762
0,180,-1,0.00185
0,180,-1,0.002163
0,180,-1,0.001537
0,180,-1,0.001675
0,180,-1,0.001762
0,180,-1,0.001775
0,180,-1,0.001737
0,180,-1,0.002513
0,180,-1,0.001826
0,180,-1,0.002375
0,180,-1,0.001812
0,180,-1,0.0017
0,180,-1,0.001837
0,180,-1,0.0019
0,180,-1,0.0016
0,180,-1,0.002675
0,180,-1,0.001675
0,180,-1,0.001612
0,180,-1,0.00185
0,180,-1,0.00165
0,190,-1,0.00175
0,190,-1,0.001638
0,190,-1,0.0019
0,190,-1,0.002038
0,190,-1,0.002462
0,190,-1,0.001762
0,190,-1,0.00235
0,190,-1,0.002162
0,190,-1,0.0018
0,190,-1,0.002438
0,190,-1,0.0018
0,190,-1,0.001512
0,190,-1,0.001737
0,190,-1,0.001837
0,190,-1,0.001537
0,190,-1,0.002038
0,190,-1,0.001475
0,190,-1,0.001862
0,190,-1,0.001713
0,190,-1,0.001575
0,200,-1,0.001713
0,200,-1,0.002038
0,200,-1,0.00165
