n,V,resultado,tiempo (programaciondinamica)
1,10,-1,0.01558945
1,20,-1,0.01246585
1,30,-1,0.0112696
1,40,-1,0.0117627
1,50,-1,0.01207085
1,60,-1,0.03254005
1,70,-1,0.0359324
1,80,-1,0.01428655
1,90,-1,0.0125671
1,100,-1,0.0125938
1,110,-1,0.01326845
1,120,-1,0.0140551
1,130,-1,0.0167791
1,140,-1,0.03790175
1,150,-1,0.0128008
1,160,-1,0.016827
1,170,-1,0.0107425
1,180,-1,0.05083515
1,190,-1,0.03749305
1,200,-1,0.01229585
2,10,-1,0.0130738
2,20,-1,0.01471145
2,30,-1,0.02979875
2,40,-1,0.0129527
2,50,-1,0.0305623
2,60,-1,0.015814
2,70,1,0.0193715
2,80,-1,0.0163001
2,90,-1,0.0160635
2,100,-1,0.01514835
2,110,-1,0.01542085
2,120,-1,0.01345225
2,130,-1,0.0144996
2,140,1,0.01295575
2,150,-1,0.0200467
2,160,-1,0.01550585
2,170,-1,0.019544
2,180,-1,0.0197203
2,190,-1,0.01644905
2,200,-1,0.0199747
3,10,-1,0.01949665
3,20,-1,0.0174971
3,30,-1,0.0215459
3,40,-1,0.01747835
3,50,-1,0.01535405
3,60,-1,0.24254565
3,70,-1,0.01688895
3,80,-1,0.02112205
3,90,-1,0.01661985
3,100,-1,0.0194902
3,110,-1,0.06509925
3,120,-1,0.0178559
3,130,-1,0.0153066
3,140,-1,0.0176403
3,150,-1,0.0206378
3,160,-1,0.0267959
3,170,-1,0.0168659
3,180,-1,0.01811285
3,190,-1,0.0165215
3,200,-1,0.0175503
4,10,2,0.02342845
4,20,3,0.02392215
4,30,2,0.06040975
4,40,1,0.02364545
4,50,2,0.02437405
4,60,-1,0.2125555
4,70,-1,0.02435965
4,80,-1,0.02450735
4,90,-1,0.098304
4,100,-1,0.0233404
4,110,-1,0.0225735
4,120,1,0.0261628
4,130,-1,0.02456595
4,140,-1,0.0600121
4,150,1,0.0240248
4,160,-1,0.0267254
4,170,-1,0.02560865
4,180,-1,0.01921575
4,190,-1,0.02499425
4,200,-1,0.02169095
5,10,1,0.0308724
5,20,2,0.02949115
5,30,-1,0.0243809
5,40,1,0.02911355
5,50,-1,0.02498115
5,60,-1,0.03258605
5,70,-1,0.02939125
5,80,1,0.03742315
5,90,-1,0.0311656
5,100,-1,0.0272911
5,110,-1,0.03014235
5,120,-1,0.0389964
5,130,-1,0.0500009
5,140,-1,0.03216865
5,150,-1,0.03310115
5,160,-1,0.0317931
5,170,-1,0.0283042
5,180,-1,0.0375913
5,190,-1,0.0388625
5,200,-1,0.04406145
6,10,2,0.03291255
6,20,-1,0.02956415
6,30,1,0.04666085
6,40,-1,0.07675445
6,50,-1,0.03219945
6,60,-1,0.04101945
6,70,1,0.0780087
6,80,-1,0.064481
6,90,3,0.0793963
6,100,-1,0.0905496
6,110,-1,0.03564615
6,120,-1,0.0414687
6,130,-1,0.04425505
6,140,-1,0.04380005
6,150,-1,0.06346235
6,160,3,0.0644529
6,170,3,0.0650566
6,180,-1,0.0454825
6,190,-1,0.11815435
6,200,-1,0.0346911
7,10,2,0.051957
7,20,2,0.0923528
7,30,2,0.0674174
7,40,-1,0.0450601
7,50,3,0.04370045
7,60,1,0.05957345
7,70,3,0.07978
7,80,3,0.1630328
7,90,-1,0.05687655
7,100,1,0.03964835
7,110,2,0.05148525
7,120,-1,0.1010409
7,130,2,0.0673336
7,140,3,0.13667865
7,150,-1,0.04639765
7,160,-1,0.0501282
7,170,3,0.1103867
7,180,-1,0.0656762
7,190,-1,0.0564904
7,200,-1,0.06225035
8,10,1,0.049552
8,20,1,0.11658265
8,30,3,0.06527415
8,40,-1,0.07420365
8,50,-1,0.09787975
8,60,3,0.1501387
8,70,-1,0.19836475
8,80,1,0.0838137
8,90,3,0.1676183
8,100,2,0.06751165
8,110,2,0.06045275
8,120,2,0.1610869
8,130,-1,0.0532483
8,140,-1,0.0585471
8,150,-1,0.0687181
8,160,-1,0.07594185
8,170,-1,0.0816764
8,180,-1,0.0937565
8,190,-1,0.1556401
8,200,-1,0.17166085
9,10,1,0.06831415
9,20,1,0.0913047
9,30,1,0.0821964
9,40,1,0.1420129
9,50,1,0.06069735
9,60,-1,0.0902255
9,70,3,0.14320925
9,80,3,0.1514425
9,90,2,0.0837545
9,100,1,0.1032767
9,110,3,0.1268852
9,120,3,0.1849254
9,130,1,0.2103215
9,140,2,0.17138365
9,150,2,0.18176925
9,160,2,0.13125035
9,170,-1,0.07887695
9,180,-1,0.16857545
9,190,-1,0.17017425
9,200,-1,0.28443285
10,10,1,0.05633535
10,20,1,0.18063075
10,30,1,0.1412554
10,40,2,0.1470581
10,50,2,0.1807753
10,60,1,0.20873515
10,70,2,0.33380905
10,80,-1,0.1181813
10,90,2,0.29043865
10,100,1,0.09277725
10,110,2,0.1705172
10,120,2,0.2104293
10,130,4,0.28927955
10,140,4,0.33280545
10,150,-1,0.1280296
10,160,-1,0.2444642
10,170,2,0.1762531
10,180,-1,0.11186295
10,190,4,0.2454252
10,200,2,0.24231155
11,10,2,0.06090785
11,20,2,0.1338159
11,30,2,0.3229566
11,40,3,0.24825645
11,50,3,0.33069235
11,60,2,0.41829535
