N,V,Tiempo
1,1,0.004427
1,2,0.003833
1,3,0.004292
1,4,0.00424
1,5,0.003834
1,6,0.004442
1,7,0.003808
1,8,0.003878
1,9,0.004255
1,10,0.003975
1,11,0.004382
1,12,0.003905
1,13,0.006165
1,14,0.003856
1,15,0.004341
1,16,0.003797
1,17,0.003968
1,18,0.003789
1,19,0.005378
1,20,0.004759
1,21,0.003865
1,22,0.00391
1,23,0.003822
1,24,0.003874
1,25,0.00379
2,1,0.004827
2,2,0.004743
2,3,0.004717
2,4,0.004677
2,5,0.004708
2,6,0.006607
2,7,0.004626
2,8,0.004604
2,9,0.004715
2,10,0.00462
2,11,0.004748
2,12,0.005256
2,13,0.005407
2,14,0.004732
2,15,0.004778
2,16,0.005258
2,17,0.005214
2,18,0.005026
2,19,0.005295
2,20,0.00467
2,21,0.004709
2,22,0.004738
2,23,0.004779
2,24,0.00864
2,25,0.005283
3,1,0.021867
3,2,0.010668
3,3,0.010508
3,4,0.010572
3,5,0.010476
3,6,0.013237
3,7,0.010531
3,8,0.010504
3,9,0.010632
3,10,0.011706
3,11,0.010473
3,12,0.010573
3,13,0.010642
3,14,0.011897
3,15,0.011713
3,16,0.010542
3,17,0.015942
3,18,0.010551
3,19,0.010649
3,20,0.010581
3,21,0.013287
3,22,0.010493
3,23,0.010664
3,24,0.010566
3,25,0.010532
4,1,0.024149
4,2,0.024251
4,3,0.023909
4,4,0.024055
4,5,0.02396
4,6,0.024124
4,7,0.03456
4,8,0.024053
4,9,0.023992
4,10,0.027374
4,11,0.024227
4,12,0.024207
4,13,0.023838
4,14,0.024059
4,15,0.024173
4,16,0.027237
4,17,0.024146
4,18,0.023869
4,19,0.024118
4,20,0.024154
4,21,0.024044
4,22,0.024175
4,23,0.026948
4,24,0.024233
4,25,0.027151
5,1,0.05376
5,2,0.053701
5,3,0.053349
5,4,0.053314
5,5,0.093317
5,6,0.093167
5,7,0.053749
5,8,0.05367
5,9,0.06004
5,10,0.061864
5,11,0.05385
5,12,0.053604
5,13,0.081721
5,14,0.061154
5,15,0.054505
5,16,0.098208
5,17,0.081723
5,18,0.142061
5,19,0.053771
5,20,0.053903
5,21,0.061058
5,22,0.064489
5,23,0.054197
5,24,0.053641
5,25,0.107442
6,1,0.128762
6,2,0.122452
6,3,0.129729
6,4,0.171506
6,5,0.123059
6,6,0.127756
6,7,0.122455
6,8,0.123622
6,9,0.166449
6,10,0.125663
6,11,0.135388
6,12,0.121961
6,13,0.121487
6,14,0.124302
6,15,0.125146
6,16,0.132166
6,17,0.161209
6,18,0.137413
6,19,0.122141
6,20,0.122261
6,21,0.137429
6,22,0.122276
6,23,0.177768
6,24,0.13092
6,25,0.133812
7,1,0.343552
7,2,0.281037
7,3,0.273795
7,4,0.272916
7,5,0.371688
7,6,0.422708
7,7,0.503188
7,8,0.39488
7,9,0.281809
7,10,0.287696
7,11,0.52611
7,12,0.343184
7,13,0.298659
7,14,0.308354
7,15,0.290456
7,16,0.311242
7,17,0.281718
7,18,0.274669
7,19,0.274957
7,20,0.335876
7,21,0.292269
7,22,0.275066
7,23,0.288981
7,24,0.328479
7,25,0.274889
8,1,0.755835
8,2,0.653333
8,3,0.656562
8,4,0.67222
8,5,0.654161
8,6,0.630515
8,7,0.644886
8,8,0.629585
8,9,0.66122
8,10,0.664352
8,11,0.640137
8,12,0.746034
8,13,0.642373
8,14,0.725847
8,15,0.651924
8,16,0.693662
8,17,0.826466
8,18,0.63695
8,19,0.803002
8,20,0.787809
8,21,0.660153
8,22,0.674771
8,23,0.760928
8,24,0.78737
8,25,0.777221
9,1,1.43915
9,2,1.64524
9,3,1.54111
