N,V,Tiempo
1,1,0.003714
1,2,0.004498
1,3,0.006544
1,4,0.004544
1,5,0.00463
1,6,0.004225
1,7,0.003695
1,8,0.003795
1,9,0.003743
1,10,0.003779
1,11,0.005753
1,12,0.004821
1,13,0.003776
1,14,0.003821
1,15,0.004509
1,16,0.003718
1,17,0.003773
1,18,0.003811
1,19,0.003688
1,20,0.003694
1,21,0.003771
1,22,0.003865
1,23,0.003739
1,24,0.003725
1,25,0.003727
2,1,0.004663
2,2,0.004545
2,3,0.005212
2,4,0.004709
2,5,0.004665
2,6,0.004641
2,7,0.004744
2,8,0.004713
2,9,0.004718
2,10,0.004613
2,11,0.00458
2,12,0.005806
2,13,0.004708
2,14,0.004682
2,15,0.005181
2,16,0.004624
2,17,0.004779
2,18,0.008248
2,19,0.005629
2,20,0.004775
2,21,0.004638
2,22,0.004675
2,23,0.004576
2,24,0.004684
2,25,0.004711
3,1,0.010409
3,2,0.011862
3,3,0.010513
3,4,0.011906
3,5,0.011889
3,6,0.011885
3,7,0.010686
3,8,0.010726
3,9,0.012924
3,10,0.010653
3,11,0.010575
3,12,0.011848
3,13,0.01048
3,14,0.012087
3,15,0.016559
3,16,0.012125
3,17,0.010489
3,18,0.010684
3,19,0.011969
3,20,0.010548
3,21,0.010598
3,22,0.010645
3,23,0.01048
3,24,0.010642
3,25,0.010621
4,1,0.024347
4,2,0.027396
4,3,0.024376
4,4,0.027436
4,5,0.024367
4,6,0.025127
4,7,0.024383
4,8,0.024163
4,9,0.024247
4,10,0.024386
4,11,0.024076
4,12,0.02737
4,13,0.024381
4,14,0.024293
4,15,0.027269
4,16,0.025664
4,17,0.024278
4,18,0.024204
4,19,0.024023
4,20,0.024249
4,21,0.024206
4,22,0.044029
4,23,0.0294
4,24,0.043204
4,25,0.029793
5,1,0.064558
5,2,0.054004
5,3,0.054684
5,4,0.054222
5,5,0.053965
5,6,0.054449
5,7,0.068924
5,8,0.06127
5,9,0.098049
5,10,0.081989
5,11,0.054101
5,12,0.081868
5,13,0.060734
5,14,0.054165
5,15,0.054723
5,16,0.054152
5,17,0.054017
5,18,0.054251
5,19,0.054315
5,20,0.054201
5,21,0.054257
5,22,0.054426
