N,V,Tiempo
1,1,0.000786
1,6,0.000678
1,11,0.000736
1,16,0.000683
1,21,0.00068
1,26,0.000672
1,31,0.000677
1,36,0.000676
1,41,0.000729
1,46,0.000673
1,51,0.000692
1,56,0.000658
1,61,0.000797
1,66,0.000678
1,71,0.000905
1,76,0.000953
1,81,0.000687
1,86,0.00072
1,91,0.000741
1,96,0.000703
1,101,0.000671
1,106,0.000748
1,111,0.000694
1,116,0.000693
1,121,0.00071
1,126,0.000734
1,131,0.00071
1,136,0.000683
1,141,0.000681
1,146,0.001006
1,151,0.000729
1,156,0.000775
1,161,0.000706
1,166,0.000701
1,171,0.000736
1,176,0.000698
1,181,0.000727
1,186,0.00069
1,191,0.000981
1,196,0.000748
1,201,0.000703
1,206,0.000685
1,211,0.00071
1,216,0.001051
1,221,0.0007
1,226,0.000719
1,231,0.000687
1,236,0.000938
1,241,0.001032
1,246,0.000705
1,251,0.001014
1,256,0.000712
1,261,0.000719
1,266,0.001017
1,271,0.000705
1,276,0.000707
1,281,0.000727
1,286,0.001038
1,291,0.000665
1,296,0.0009
1,301,0.000993
1,306,0.000772
1,311,0.000726
1,316,0.001004
1,321,0.000689
1,326,0.000704
1,331,0.000698
1,336,0.000728
1,341,0.000693
1,346,0.000698
1,351,0.000995
1,356,0.000665
1,361,0.000697
1,366,0.001068
1,371,0.000721
1,376,0.000923
1,381,0.000701
1,386,0.001079
1,391,0.000688
1,396,0.000711
1,401,0.000684
1,406,0.00069
1,411,0.00072
1,416,0.000697
1,421,0.001019
1,426,0.000694
1,431,0.001091
1,436,0.000806
1,441,0.000715
1,446,0.000728
1,451,0.000957
1,456,0.000704
1,461,0.000696
1,466,0.000732
1,471,0.000692
1,476,0.000925
1,481,0.000939
1,486,0.001068
1,491,0.000963
1,496,0.000716
6,1,0.001488
6,6,0.002194
6,11,0.003353
6,16,0.002307
6,21,0.002247
6,26,0.001884
6,31,0.00159
6,36,0.001949
6,41,0.002021
6,46,0.002792
6,51,0.003071
6,56,0.002194
6,61,0.004429
6,66,0.003074
6,71,0.002632
6,76,0.004859
6,81,0.004997
6,86,0.003205
6,91,0.004021
6,96,0.006761
6,101,0.006335
6,106,0.003717
6,111,0.00435
6,116,0.004071
6,121,0.004154
6,126,0.008771
6,131,0.007193
6,136,0.006712
6,141,0.005486
6,146,0.006405
6,151,0.006379
6,156,0.008633
6,161,0.006143
6,166,0.006007
6,171,0.005087
6,176,0.005045
6,181,0.005727
6,186,0.005888
6,191,0.006507
6,196,0.005708
6,201,0.005441
6,206,0.00558
6,211,0.006871
6,216,0.00635
6,221,0.010564
6,226,0.006085
6,231,0.010435
6,236,0.009851
6,241,0.009172
6,246,0.006543
6,251,0.006576
6,256,0.006449
6,261,0.011059
6,266,0.006335
6,271,0.005199
6,276,0.006309
6,281,0.006662
6,286,0.008299
6,291,0.006315
6,296,0.006637
6,301,0.006539
6,306,0.006715
6,311,0.006658
6,316,0.006264
6,321,0.006509
6,326,0.005882
6,331,0.007319
6,336,0.005338
6,341,0.006661
6,346,0.006356
6,351,0.006504
6,356,0.006435
6,361,0.00659
6,366,0.005789
6,371,0.006544
6,376,0.010732
6,381,0.006616
6,386,0.006673
6,391,0.00657
6,396,0.006533
6,401,0.006276
6,406,0.00657
6,411,0.006693
6,416,0.006624
6,421,0.009092
6,426,0.006642
6,431,0.006521
6,436,0.006574
6,441,0.006521
6,446,0.006435
6,451,0.006701
6,456,0.010538
6,461,0.006199
6,466,0.010672
6,471,0.006506
6,476,0.006761
6,481,0.006541
6,486,0.010317
6,491,0.005757
6,496,0.010202
11,1,0.003811
11,6,0.002542
11,11,0.008208
11,16,0.002797
11,21,0.003619
11,26,0.009692
11,31,0.004088
11,36,0.004138
11,41,0.007743
11,46,0.006784
11,51,0.004001
11,56,0.004076
11,61,0.044682
11,66,0.017031
11,71,0.025736
11,76,0.009327
11,81,0.019051
11,86,0.0189
11,91,0.01634
11,96,0.019352
11,101,0.0282
11,106,0.017969
11,111,0.028741
11,116,0.032314
11,121,0.05093
11,126,0.049162
11,131,0.035405
11,136,0.026299
11,141,0.034536
11,146,0.073349
11,151,0.031411
11,156,0.066206
11,161,0.080226
11,166,0.060487
11,171,0.03733
11,176,0.039119
11,181,0.04302
11,186,0.042299
11,191,0.043028
11,196,0.041699
11,201,0.045141
11,206,0.054719
11,211,0.056841
11,216,0.063741
11,221,0.075676
11,226,0.057393
11,231,0.105936
11,236,0.083729
11,241,0.060907
11,246,0.146045
11,251,0.134153
11,256,0.116907
11,261,0.080861
11,266,0.087043
11,271,0.143569
11,276,0.094985
11,281,0.094323
11,286,0.06789
11,291,0.093785
11,296,0.093927
11,301,0.092883
11,306,0.087501
11,311,0.091432
11,316,0.151818
11,321,0.106112
11,326,0.109506
11,331,0.108298
11,336,0.152806
11,341,0.107572
11,346,0.103959
11,351,0.076348
11,356,0.098383
11,361,0.160481
11,366,0.072576
11,371,0.110451
11,376,0.104917
11,381,0.227879
11,386,0.096196
11,391,0.089892
11,396,0.099029
11,401,0.166951
11,406,0.10287
11,411,0.084323
11,416,0.106571
11,421,0.180301
11,426,0.115182
11,431,0.11473
11,436,0.103916
11,441,0.102863
11,446,0.119128
11,451,0.105595
11,456,0.112414
11,461,0.226916
11,466,0.249844
11,471,0.181521
11,476,0.162135
11,481,0.092023
11,486,0.120049
11,491,0.081032
11,496,0.10332
16,1,0.004481
16,6,0.004272
